IDa	Descriptionf
DCV179_C	Noise_of_nuclear_minimum_radius_in_mother
DCV180_C	Noise_of_nuclear_minimum_radius_in_bud
DCV182_C	Noise_of_nuclear_axis_ratio_in_mother
DCV183_C	Noise_of_nuclear_axis_ratio_in_bud
DCV185_C	Noise_of_total_length_of_two_straight_segments_D11-1C4-1_and_D11-2C4-1
DCV186_C	Noise_of_total_length_of_two_straight_segments_D12-1C4-1_and_D12-2C4-1
DCV188_C	Noise_of_distance_between_nuclear_gravity_center_and_brightest_point_in_mother
DCV189_C	Noise_of_distance_between_nuclear_gravity_center_and_brightest_point_in_bud
DCV191_C	Noise_of_average_of_nuclear_brightness_in_mother
DCV192_C	Noise_of_average_of_nuclear_brightness_in_bud
DCV193_C	Noise_of_average_of_nuclear_brightness_in_whole_cell
DCV194_C	Noise_of_maximal_intensity_of_nuclear_brightness_divided_by_average_in_mother
DCV195_C	Noise_of_maximal_intensity_of_nuclear_brightness_divided_by_average_in_bud
DCV196_C	Noise_of_maximal_intensity_of_nuclear_brightness_divided_by_average_in_whole_cell
DCV197_C	Noise_of_ratio_of_nuclear_size
DCV198_C	Noise_of_ratio_of_nuclear_brightness
A105_A	Actin_a_ratio
A106_A	Actin_b_ratio
A113_A	Actin_n_ratio
C123_A1B	Small_bud_ratio
C124_A1B	Medium_bud_ratio
C125_A1B	Large_bud_ratio
A107_A1B	Actin_c_api_ratio
A108_A1B	Actin_d_iso_ratio
A109_A1B	Actin_e_ratio
A110_A1B	Actin_f_ratio
A112_A1B	Actin_cd_ratio
A113_A1B	Actin_n_ratio
C123_C	Small_bud_ratio
C124_C	Medium_bud_ratio
C125_C	Large_bud_ratio
A107_C	Actin_c_api_ratio
A108_C	Actin_d_iso_ratio
A109_C	Actin_e_ratio
A110_C	Actin_f_ratio
A112_C	Actin_cd_ratio
A113_C	Actin_n_ratio
C119	no_bud_ratio
C120	small_bud_ratio
C121	medium_bud_ratio
C122	large_bud_ratio
C123	small_bud_ratio_to_budded_cells
C124	medium_bud_ratio_to_buded_cells
C125	large_bud_ratio_to_buded_cells
A105	actin_a_ratio
A106	actin_b_ratio
A107	actin_c_api_ratio
A108	actin_d_iso_ratio
A109	actin_e_ratio
A110	actin_f_ratio
A111	actin_ae_ratio
A112	actin_bcd_ratio
A113	actin_n_ratio
A114	actin_a_ratio_to_no_bud_cells
A115	actin_b_ratio_to_no_bud_cells
A116	actin_c_api_ratio_to_budded_cells
A117	actin_d_iso_ratio_to_budded_cells
A118	actin_e_ratio_to_budded_cells
A119	actin_f_ratio_to_budded_cells
D199	nuclear_A_ratio
D200	nuclear_A1_ratio
D201	nuclear_B_ratio
D202	nuclear_C_ratio
